symbol,meaning,group
🍽️,food,food
🌾,grain,food
🍞,bread,food
🍖,meat,food
🥕,vegetable,food
🍎,fruit,food
🥛,milk,food
💧,water,food
🍷,wine,food
🛢️,oil,food
🍬,sugar,food
🧂,salt,food
🌶️,spice,food
🌽,crop,agriculture
🚜,farm,agriculture
🟫,soil,agriculture
🌱,seed,agriculture
☁️,cotton,materials
🎀,silk,materials
🧶,wool,materials
🥾,leather,materials
🪵,wood,materials
🏺,clay,materials
🪟,glass,materials
⚙️,metal,materials
👕,cloth,goods
📄,paper,goods
🧵,thread,goods
🧼,soap,goods
🕯️,candle,goods
💊,medicine,general
☠️,poison,general
🗑️,waste,general
🧱,material,general
📦,object,general
